appid,name,playtime_forever_Gavin,img_icon_url,has_community_visible_stats,playtime_windows_forever_Gavin,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played_Gavin,content_descriptorids,playtime_disconnected,has_leaderboards,playtime_2weeks_Gavin
220,Half-Life 2,656,fcfb366051782b8ebf2aa297f3b746395858cb62,True,47,0,0,0,1585114037,"[2, 5]",0,,
320,Half-Life 2: Deathmatch,0,795e85364189511f4990861b578084deef086cb1,,0,0,0,0,0,"[2, 5]",0,,
360,Half-Life Deathmatch: Source,0,40b8a62efff5a9ab356e5c56f5c8b0532c8e1aa3,,0,0,0,0,0,"[2, 5]",0,,
4000,Garry's Mod,27059,4a6f25cfa2426445d0d9d6e233408de4d371ce8b,True,1710,0,0,0,1692778870,,0,,
17390,Spore,46,00e6b5f1f7173e5a2db9978de34df03abb886430,,45,0,0,0,1693307808,,0,,
17440,Spore: Creepy & Cute Parts Pack,149,00e6b5f1f7173e5a2db9978de34df03abb886430,,0,0,0,0,1472358489,,0,,
17410,Mirror's Edge,4629,cfea4731163004b2e5117c3b42a798c48c483d8f,,0,0,0,0,1536070726,,0,,
3590,Plants vs. Zombies: Game of the Year,32,d2a9c24de11210560f579e7fd9303960c5060155,True,32,0,0,0,1717519182,,0,,
22330,The Elder Scrolls IV: Oblivion Game of the Year Edition (2009),222,e33402f6e1e4ed6dd001c7add26934f345cbd31e,,0,0,0,0,1484771248,"[2, 5]",0,,
6060,"Star Wars: Battlefront 2 (Classic, 2005)",253,f6302406e215af8cff3533a747d30387f68bef2a,,0,0,0,0,1482472487,,0,,
550,Left 4 Dead 2,1494,7d5a243f9500d2f8467312822f8af2a2928777ed,True,228,0,0,0,1679216643,"[2, 5]",0,,
32430,STAR WARS™: The Force Unleashed™ Ultimate Sith Edition,72,5a4a943e2b397aaffc6ec5f17e00c9f59e0ba88c,,0,0,0,0,1451173197,,0,,
22380,Fallout: New Vegas,1,1711fd8c46d739feec76bd4a64eaeeca5b87e3a7,True,1,0,0,0,1572390322,,0,,
42910,Magicka,8,0eb97d0cd644ee08b1339d2160c7a6adf2ea0a65,True,0,0,0,0,1451283575,,0,True,
620,Portal 2,1673,2e478fc6874d06ae5baf0d147f6f21203291aa02,True,238,0,0,0,1594423044,,0,True,
105600,Terraria,73027,858961e95fbf869f136e1770d586e0caefd4cfac,True,16965,0,0,0,1745116969,,0,,5.0
22230,Rock of Ages,171,775c7ad571b7571aec5a85235759fbc2baa12eee,True,7,0,0,0,1609903967,,0,True,
48000,LIMBO,39,463f57855017564301b17050fba73804b3bd86d6,True,0,0,0,0,1497202979,,0,,
72850,The Elder Scrolls V: Skyrim,5971,b9aca8a189abd8d6aaf09047dbb0f57582683e1c,True,80,0,0,0,1675764668,"[1, 5]",0,,
104900,ORION: Prelude,1536,2e934d58e275379f19f36ddc1676aedc2ef5e862,True,0,0,0,0,1483063236,"[2, 5]",0,,
113200,The Binding of Isaac,1,383cf045ca20625db18f68ef5e95169012118b9e,True,0,0,0,0,1543269882,,0,,
201790,Orcs Must Die! 2,97,fabd8658e8e76f7c99c56f26b69d29882756f9b4,True,0,0,0,0,1530125689,,0,,
204360,Castle Crashers,2114,9b7625f9b70f103397fd0416fd92abb583db8659,True,53,0,0,0,1630303719,,0,,
49520,Borderlands 2,2432,a3f4945226e69b6196074df4c776e342d3e5a3be,True,259,0,0,0,1591054768,,0,,
205100,Dishonored,89,74f8ee1ba536e0759e64a9bf801fc013e16c8dd1,True,0,0,0,0,1530043659,,0,True,
219640,Chivalry: Medieval Warfare,834,d4628be29b7e97d93a3404870dfe79642b90b907,True,33,0,0,0,1577076812,"[2, 5]",0,,
17080,Tribes: Ascend,9,ff9812c1b957546e731c1765ed6ec463aca8b835,,0,0,0,0,1471473749,,0,,
99900,Spiral Knights,82,d4b1a783f64871474bacfec6b33307e56fa665f7,True,0,0,0,0,1443627928,,0,,
109600,Neverwinter,7,b65eee286148b9ab29c27847ff47cbcd158788b6,,7,0,0,0,1585964603,,0,,
113420,Fallen Earth Classic,47,a5474b2af9b42b523e2d023037875386e1b5995b,True,0,0,0,0,1439834156,,0,,
200210,Realm of the Mad God Exalt,10117,76c62602486e58f9501e09e7e8f189e86823e8d5,True,5710,0,0,0,1715413683,,0,,
206210,Gotham City Impostors: Free To Play,22,1b0b83ce13da847e18dbdd5dcc69a2fc12850967,True,0,0,0,0,1472343317,,0,,
213650,Dwarfs F2P,36,aea074ae0727b262068eb0bd8d9b285fcdfb18c8,True,0,0,0,0,1429931514,,0,,
218230,PlanetSide 2,432,f09d788b57eccd48ad9a6d1ec0dbf0707db39612,,0,0,0,0,1503778021,,0,,
1083500,PlanetSide 2 - Test,0,4a048ec31eba8fb4ed19a1fd8a906041119d3523,,0,0,0,0,0,,0,,
230410,Warframe,1281,22064646470f4c53388ba87774c7ac10f0a91ffa,True,5,0,0,0,1640076786,"[2, 5]",0,,
236390,War Thunder,25,c69fbafb6e9891314cc5df0fe6a659612c289bf9,True,0,0,0,0,1454786589,,0,,
238960,Path of Exile,235,1110764aac57ac28d7ffd8c43071c75d5482a9c9,True,210,0,0,0,1704094571,"[1, 2, 5]",0,,
39000,Moonbase Alpha,17,24b18829c461e2db0a9962ce0aaeb5dfa3d381d8,,0,0,0,0,1490659329,,0,,
209870,Blacklight: Retribution,1,de0e0786f3473b277fbbf7db4f3fdc5ea07b942c,True,0,0,0,0,1471542140,,0,,
223710,Cry of Fear,67,962637bf69fddc5466b042c748b6408d2901f25c,,67,0,0,0,1695704119,,0,,
248570,Toribash,659,7642e8aaf8d97a5fca68d749ed5cdd548cbb6d35,True,0,0,0,0,1475972586,,0,,
265630,Fistful of Frags,217,e70c19e10125ea3f221666327af2b90f3fcecad9,True,217,0,0,0,1595918039,"[2, 5]",0,True,
224260,No More Room in Hell,4,684de0d9c5749b5ddd52f120894fd97efd620b1d,True,0,0,0,0,1487051114,"[2, 5]",0,,
226320,Marvel Heroes Omega,633,f9e8431600ea2ac6b15d81bd6c38e63c13ba2bbd,True,0,0,0,0,1463950170,,0,,
239220,The Mighty Quest For Epic Loot,32,86781e66eaae17e605fe078d290ce944f176ad92,True,0,0,0,0,1435898481,,0,True,
227680,StarForge,102,911658bd1dc011bbc5a74cf7358befb093d64115,,0,0,0,0,1482526119,,0,,
233470,Evoland,425,b43008e5cf72a1a3a239b63d4112e304c5bdb8fd,True,0,0,0,0,1455600596,,0,,
219740,Don't Starve,176,03fe647df40dccc4d19bf42a0185cd3e6b9f2953,,0,0,0,0,1427251478,,0,,
322330,Don't Starve Together,788,a80aa6cff8eebc1cbc18c367d9ab063e1553b0ee,,344,0,0,0,1683657766,,0,,
242760,The Forest,2365,3a6847f6ac5879e48531db52261771d5e22904ac,True,315,0,0,0,1638671520,"[2, 5]",0,,
238240,Edge of Space,499,fcd82e4be5359b1ac886f940a8e33bcdf87333eb,True,0,0,0,0,1486053266,,0,,
244770,StarMade,3,c8d6b105e322701a9e041f64032fb48bbf21ee81,,0,0,0,0,1447642645,,0,,
246900,Viscera Cleanup Detail,13,468438972a79636192adf089d3f830aad072a844,True,0,0,0,0,1561262055,"[2, 5]",0,,
255520,Viscera Cleanup Detail: Shadow Warrior,80,56c3840d52a0da4f397d9991d368c75ed53d99fa,True,0,0,0,0,1561264052,"[2, 5]",0,,
