Game,appid,playtime_forever_Sam,rtime_last_played_Sam,playtime_2weeks_Sam,playtime_forever_Gavin,rtime_last_played_Gavin,playtime_2weeks_Gavin,Genre,Price (USD $),Review Score,Total Positive Reviews,Total Negative Reviews
Rust,252490,56285.0,1729368992.0,0.0,230031.0,1736582608.0,0.0,"Action, Adventure, Indie, Massively Multiplayer, RPG",39.99,Very Positive,885243.0,124415.0
Destiny 2,1085660,6822.0,1728677623.0,0.0,149362.0,1745990289.0,591.0,"Action, Adventure, Free To Play",0.0,Mostly Positive,100181.0,27456.0
Terraria,105600,57014.0,1739930731.0,0.0,73027.0,1745116969.0,5.0,"Action, Adventure, Indie, RPG",9.99,Overwhelmingly Positive,1088453.0,26250.0
Counter-Strike 2,730,4632.0,1730015497.0,0.0,42660.0,1644630043.0,0.0,"Action, Free To Play",0.0,Very Positive,3865716.0,615976.0
Tom Clancy's Rainbow Six Siege,359550,58551.0,1712614476.0,0.0,39962.0,1744437447.0,0.0,Action,19.99,Very Positive,998161.0,184203.0
Garry's Mod,4000,8296.0,1714535259.0,0.0,27059.0,1692778870.0,0.0,"Casual, Indie, Simulation",9.99,Overwhelmingly Positive,961964.0,30790.0
Wallpaper Engine,431960,1892.0,1740543922.0,0.0,20577.0,1741484559.0,0.0,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",4.99,Overwhelmingly Positive,805513.0,15967.0
tModLoader,1281930,21359.0,1739930743.0,0.0,18619.0,1740545584.0,0.0,"Action, Adventure, Indie, RPG, Free To Play",0.0,No user reviews,0.0,0.0
ELDEN RING,1245620,20031.0,1742255929.0,0.0,15200.0,1719977922.0,0.0,"Action, RPG",59.99,Very Positive,706496.0,53393.0
Baldur's Gate 3,1086940,277.0,1745285071.0,169.0,13216.0,1745828119.0,585.0,"Adventure, RPG, Strategy",59.99,Overwhelmingly Positive,641349.0,20722.0
Dark and Darker,2016590,29.0,1722974513.0,0.0,10216.0,1745784960.0,1366.0,"Action, RPG, Free To Play, Early Access",0.0,Mixed,18.0,10.0
